Nt,Np,L,R,v,nb_runs,mean_polarization_factor
10000,50,100.0,1.5,13.019031228955244,200,0.21454246209755837
10000,50,100.0,1.5,1.1465909085663442,200,0.2138029282542134
10000,50,100.0,1.5,14.999185807655751,200,0.21703760788363155
10000,50,100.0,1.5,7.640346437220202,200,0.21520126415312016
10000,50,100.0,1.5,1.2888986199187222,200,0.21481082695811768
10000,50,100.0,1.5,10.773596635650383,200,0.2126413586610839
10000,50,100.0,1.5,14.130108322357044,200,0.21362332642323
10000,50,100.0,1.5,13.665918984350359,200,0.21649959703524582
10000,50,100.0,1.5,5.427146661186364,200,0.21291721399220975
10000,50,100.0,1.5,2.9473453230978413,200,0.21492735643055524
10000,50,100.0,1.5,13.077838669408214,200,0.21230019948192433
10000,50,100.0,1.5,14.349607780820508,200,0.2138251581440386
10000,50,100.0,1.5,9.77714085571986,200,0.21436594533168538
10000,50,100.0,1.5,10.442648323472321,200,0.213155833916628
10000,50,100.0,1.5,10.577313797317043,200,0.21481682881439199
10000,50,100.0,1.5,14.579750455350124,200,0.21809798384521245
10000,50,100.0,1.5,1.3631188385169322,200,0.21292512235379363
10000,50,100.0,1.5,8.19500972704184,200,0.21467902330123614
10000,50,100.0,1.5,7.708334047855518,200,0.2148249741668019
10000,50,100.0,1.5,14.32353878258972,200,0.2126450543110128
10000,50,100.0,5.0,6.7739193856505455,200,0.24677109436761227
10000,50,100.0,5.0,9.673220154848444,200,0.2555183525087303
10000,50,100.0,5.0,1.7480416067093776,200,0.24228899744104107
10000,50,100.0,5.0,13.793381090934158,200,0.2601672713347514
10000,50,100.0,5.0,10.514836431464161,200,0.25675238400515793
10000,50,100.0,5.0,11.375345163530644,200,0.25669035608700713
10000,50,100.0,5.0,8.603376363579688,200,0.2526928048011214
10000,50,100.0,5.0,3.9386757392014236,200,0.24628020507217357
10000,50,100.0,5.0,5.801967041447944,200,0.24719599856984725
10000,50,100.0,5.0,1.0201070833769639,200,0.24071675703987327
10000,50,100.0,5.0,2.678925279305844,200,0.24603743956744975
10000,50,100.0,5.0,12.258090914983555,200,0.2613345415241839
10000,50,100.0,5.0,12.940881726901107,200,0.26030462994762454
10000,50,100.0,5.0,4.181315670011724,200,0.24855564537948258
10000,50,100.0,5.0,2.906818539963567,200,0.2469452711671193
10000,50,100.0,5.0,6.359327463616486,200,0.2472487727357377
10000,50,100.0,5.0,14.240090878241537,200,0.2569458182805129
10000,50,100.0,5.0,4.152504800468716,200,0.24926071851028742
10000,50,100.0,5.0,7.629031705559832,200,0.25298736528817267
10000,50,100.0,5.0,11.510334763040017,200,0.2555344052877673
10000,50,100.0,5.0,11.966504943441493,200,0.2546759203491857
10000,50,100.0,5.0,11.615303090360852,200,0.2602864941803279
10000,50,100.0,5.0,14.106393803591592,200,0.2609101270614248
10000,50,100.0,5.0,5.798374215235524,200,0.24957704404188216
10000,50,100.0,5.0,11.150093064363963,200,0.25612577315455565
10000,50,100.0,5.0,7.324794040931767,200,0.2506906396038938
10000,50,100.0,5.0,8.86519978197614,200,0.25767154810817017
10000,50,100.0,5.0,11.743600862615937,200,0.2574782418036033
10000,50,100.0,5.0,14.34485261045573,200,0.2631594337089752
10000,50,100.0,5.0,14.5955560714045,200,0.2618358386751088
10000,50,100.0,5.0,1.577500593051865,200,0.24725553330040284
10000,50,100.0,5.0,3.7508005516889225,200,0.24408573318333063
10000,50,100.0,5.0,13.302660940541594,200,0.26048440956628327
10000,50,100.0,5.0,2.8266878276380627,200,0.24414462911686122
10000,50,100.0,5.0,7.5189752576105136,200,0.24849836286308322
10000,50,100.0,5.0,10.144760869659743,200,0.25413636582790344
10000,50,100.0,5.0,3.7360399749824853,200,0.24746474619826345
10000,50,100.0,5.0,7.300295785689937,200,0.24824233629006354
10000,50,100.0,5.0,6.013819563265714,200,0.2502834940095954
10000,50,100.0,5.0,11.092376457001707,200,0.256734290091652
10000,50,100.0,5.0,1.4166475757260564,200,0.24783531359170738
10000,50,100.0,5.0,6.566606734434565,200,0.24988871659163361
10000,50,100.0,5.0,11.911698319641179,200,0.25839964173890456
10000,50,100.0,5.0,1.6013487849711714,200,0.24018913303979936
10000,50,100.0,5.0,4.393799221349992,200,0.2502906216994205
10000,50,100.0,5.0,3.1950901093380066,200,0.24489229691784783
10000,50,100.0,5.0,11.031195383001096,200,0.2568459384791974
10000,50,100.0,5.0,9.838176680380963,200,0.2557533992295276
10000,50,100.0,5.0,1.0589558737102798,200,0.24195922985902324
10000,50,100.0,5.0,11.056100683575984,200,0.25452423702573695
10000,50,100.0,5.0,13.846722050550142,200,0.2573051273216072
10000,50,100.0,5.0,13.352627083766556,200,0.26321589652709
10000,50,100.0,5.0,3.4859547188870836,200,0.24895432750801427
10000,50,100.0,5.0,12.847959642740044,200,0.2598377577892257
10000,50,100.0,5.0,9.365218361156435,200,0.2578352247363127
10000,50,100.0,5.0,12.991284626898947,200,0.25910700243947327
10000,50,100.0,5.0,3.168238575116362,200,0.24638006189521883
10000,50,100.0,5.0,14.234779609532497,200,0.25855524996068013
10000,50,100.0,5.0,2.955172753928813,200,0.2455452804953891
10000,50,100.0,5.0,3.1175450048231363,200,0.24567820120636683
10000,50,100.0,5.0,7.234747560104367,200,0.2563141927915437
10000,50,100.0,5.0,3.2549738152783103,200,0.2458091020902016
10000,50,100.0,5.0,6.28172523312248,200,0.24908496525399837
10000,50,100.0,5.0,1.4867122965903614,200,0.24282587760934216
10000,50,100.0,5.0,2.7742176233319378,200,0.24235951011878348
10000,50,100.0,5.0,12.99714047389614,200,0.25891205380686494
10000,50,100.0,5.0,9.418138989253071,200,0.2498800429189315
10000,50,100.0,5.0,14.668314805152432,200,0.2592275455886223
10000,50,100.0,5.0,5.160878271193179,200,0.25137278591119655
10000,50,100.0,5.0,7.264742406839986,200,0.25356737823487563
