N,Time,xpos,ypos,orientation
1,1,28.70423092736368,-22.82432358929366,-0.804771215604332
2,1,-30.008739992627554,3.1881003436174282,-0.09325069074282269
3,1,2.1600090946333528,6.872593125435977,0.8350608754209449
4,1,43.10809788304455,9.889404513646415,-1.926239126715436
5,1,45.27597471012501,19.175886424202805,-1.5972275121584552
6,1,-1.6906227587961453,11.175152091182571,-2.3966655376088677
7,1,-18.303754762523994,3.1847009520248326,0.1864194228856637
8,1,-18.78774234355619,33.57994216826672,0.0915984571200347
9,1,-47.897607954848,4.7180207796272855,-2.525919139395649
10,1,20.71711362660698,-2.679012240700727,-0.36949549854807184
11,1,41.947254557197375,24.484810814248238,1.3560245862101394
12,1,34.563169096988595,-33.9573979641152,1.8147043218277024
13,1,-47.90280456277538,39.69038166693767,2.257855700904117
14,1,-33.50724128050737,-3.3526175520180033,0.7522958622974405
15,1,-39.189093411904686,-13.328438648277618,0.4156204602455499
16,1,9.631020052268823,27.92122239727067,-0.6278893114072892
17,1,30.686490068058472,-11.443652418191677,-0.8428410857583208
18,1,13.865388820128178,-34.760887645574634,0.8618429685237143
19,1,41.657316905857414,28.027061959127085,2.1906487856444907
20,1,28.707414242627937,44.64594272015701,-1.1954829737778792
21,1,44.75483774842179,-15.867268729208984,-0.7012891696584845
22,1,-8.825809487876635,-14.746851988043197,-2.786984034356201
23,1,-42.74310903426487,44.194084619743776,2.27475212102739
24,1,-12.985512969505553,-7.697666235182843,-1.3223316450304008
25,1,10.330533482258474,12.65631772460849,0.658640391483728
26,1,-15.09520847487663,-13.306097395708907,0.35478757092707286
27,1,18.377076046398248,33.74377248532491,-1.7536141161597543
28,1,-23.802689448429113,-48.85208782388383,-1.5259990817304807
29,1,14.935062009249123,37.48929099121231,-2.136655787760884
30,1,47.22925483864417,9.220634757099031,2.018288381163865
31,1,-15.552864719449689,32.73952041101359,0.9642688816855408
32,1,34.87081693200651,21.227138838817762,1.036458698464212
33,1,13.59747614667156,-11.883572594180414,-3.087190467164166
34,1,6.137150660937529,-18.47134281007333,-0.661560077604598
35,1,-17.73245599519424,28.587018592244274,2.5854266870878804
36,1,13.935851513038866,32.61406199887232,-1.7479631078571385
