N,Time,xpos,ypos,orientation
1,1,47.18652286289835,11.87220005100935,-1.4508924207973337
2,1,49.152275762656785,-17.266998255423736,1.812137913362338
3,1,18.354237210542678,44.75946372730664,-0.28856890352178705
4,1,9.41514795045657,-15.361584554139338,-2.4057593745343793
5,1,-7.739541084401713,8.918131129796791,0.34624226903612626
6,1,5.942139513757583,1.4281727984254422,-0.46245312870154254
7,1,13.325434398776837,-48.80130997352972,-1.1292628690569526
8,1,22.072077390070888,11.844479709914735,-2.1580930679609533
9,1,12.193211623952328,-14.22124634728863,2.6705357706272577
10,1,-5.947395279166212,4.7910315263107295,-0.5712831402708474
11,1,20.217967130732813,40.1478253652733,-0.11706092705820895
12,1,19.416856166557416,1.3999961883533696,-2.470324163194854
13,1,-18.597226043040205,34.35991530474648,-1.9713407391320894
14,1,-40.74044497240955,25.22469664429867,1.1637933690966578
15,1,-47.96441157253032,-5.411642432496428,-1.2362093523760653
16,1,-30.499865561099288,3.738935697529064,-0.7278865242897831
17,1,45.78465785503349,43.15892730942661,0.200401413191381
18,1,29.150858361978393,-45.08670100686681,1.4740901672143987
19,1,-10.220870807269966,-24.694134400722724,-2.8714714618931887
20,1,23.086229060672856,24.45885787525649,1.2910122870394118
21,1,33.80642967738008,-17.151210097749235,0.7403098577718347
22,1,-13.864739542742566,10.195781452016938,-1.9674413843221805
23,1,41.68213200684586,24.601880631156703,2.7588822612750232
24,1,-30.562304864788782,-11.459506040012473,-2.933875593949006
25,1,8.810090384645175,-21.6188977590562,-0.19050686273336867
26,1,-45.789893994157026,-26.87450891134112,-1.9668290619057716
27,1,1.9756491650551267,-27.203203411582933,0.9176107975711957
28,1,44.11913399548285,-38.73827628733928,1.513182237640236
29,1,18.296697235702332,20.127167416140736,-1.7665487806854516
30,1,-33.49995794859178,3.606819587573054,1.1168434538337924
31,1,-4.565465544278224,-37.03673310376927,-1.182016781313793
32,1,-43.75332335796421,-6.604750499722478,-2.5827329627223077
33,1,4.999237233717057,9.197842329142103,-0.7963910348242211
34,1,35.42802190011068,37.37582868272707,1.7117813573924645
35,1,-24.621068824423308,-27.802008738377904,0.5840713660353107
36,1,-8.842951207461702,-6.062789696613002,1.2649161571348098
37,1,-35.984793963623744,-43.23241615443985,-2.5002628951924977
38,1,23.76711265403063,32.954464347268484,2.8290041194452713
39,1,-22.285946192537722,-17.960033506426022,-1.2380733057985807
40,1,-4.506781306667729,47.14020215100502,-0.07057272762428003
41,1,27.806652708311006,-23.972633916464265,-2.2134996104602487
42,1,37.0073048129036,45.4940717858093,-1.4483208235005596
43,1,26.365781511479714,6.098478255705664,-0.8823160786866894
44,1,-46.33068591981232,-33.16925689069341,0.36437205741599743
45,1,-9.726285279246516,-36.23098849442097,-0.2903435227377485
46,1,-45.71219877658447,-48.170613818815774,-0.95480963307775
47,1,16.86815609913106,-6.1259903078341615,-2.3721657571363406
48,1,-39.38237452997579,-39.826917553125796,1.2863027507307874
49,1,21.224005502906802,-34.700856025174275,-0.902112918475616
50,1,1.1259208245359205,41.50313368701888,0.05960055506338735
51,1,14.861925691177069,-16.270102686724464,-0.5745329327016443
52,1,5.907436156572676,-11.332947783873825,-0.46511389801129865
53,1,-3.6734430695708253,28.84182091843609,-1.698786969366324
54,1,-33.38405708691982,-12.486990052977328,-0.7420580005591877
55,1,2.095599953270999,-31.486370763772133,-3.0053191082883735
56,1,1.803193869936759,46.885716145126366,-2.3294521157526002
57,1,17.059021914801978,42.050141609566104,1.8696530557024205
58,1,30.288468582825335,-20.098282577411197,-1.01393116193689
59,1,-10.177493486140165,-42.04354237598531,2.4923797593484673
60,1,-29.83853810715541,8.380502248740541,-1.576662230917916
61,1,-8.339237198428195,44.26762796060881,2.7258788852087386
62,1,10.669849476444204,23.473749721598068,-0.002295773999327232
63,1,-33.07428035045042,-42.49287608958683,-1.315364571945121
64,1,24.038002595318297,28.448058343684856,2.819032302987464
65,1,-41.33299076138917,1.3562685845272981,-0.6808497198611905
66,1,42.06140702624529,31.666591155369638,-0.36544496950615996
67,1,-28.353237621193806,16.42927627311205,-0.9966631871437982
68,1,6.8141080871373045,-45.610884455281706,-0.9202471437383488
69,1,-10.255878097337002,21.773333164444853,1.8740228967353225
70,1,11.888190162503564,-38.97064207275991,-2.036579221868351
71,1,-26.73226715053476,-8.416667232156138,2.010196824638578
72,1,5.051278971152118,-39.56454711943398,2.608598163590339
73,1,3.9085716988866093,-49.72589260841107,-1.427051241449443
74,1,21.670958323661477,-31.731303503998774,2.3494834295661833
75,1,-35.570594338600415,-39.1611392765009,-0.776239772475939
76,1,-7.6607367348242805,12.671313702515674,-1.253182181991423
77,1,-1.6671594426347691,24.68375174929459,2.5074083632784907
78,1,42.83823670822575,42.57874507460542,2.377071866702936
79,1,38.254546993544906,38.39010916473756,1.8095607645729903
80,1,13.695703001448933,11.651029952411617,-1.8101639860330376
81,1,0.7228438333605092,-4.590574230721445,1.3390564604724406
82,1,-15.051625760781395,26.793996307229627,-1.96199528087996
83,1,-37.50690789450759,-9.247421221516072,0.17649395790466746
84,1,0.22438836043641103,38.63865324264803,-1.0323750542049517
85,1,35.76069288032843,-33.2543799613385,1.1796551713493302
86,1,28.3424141538293,11.606665629404144,1.2031528719881222
87,1,-50.76809548087105,-4.335833182621945,-1.251748993797105
88,1,-47.94345810239272,-46.160765361594244,-3.1269709918094515
89,1,15.340655389724066,-27.32200349136572,0.572243852160018
90,1,-48.518848615690516,27.034162311802167,-0.7865378468479699
91,1,-15.042868979339897,-15.971120168978459,-2.915527056987139
92,1,25.22844927058352,-25.5123988445261,-2.311123736350112
93,1,24.372598079485243,-38.14458892213067,-0.2886768826698519
94,1,-15.3685341256659,5.205966323778033,1.8801516805288803
95,1,-33.457173022656065,48.83748796071596,-0.7131595537732901
96,1,-6.532164798074902,-30.297802039382127,1.1504666556336742
97,1,-34.10772752440959,-47.862634405943496,1.5248906834686302
98,1,-24.466062356648877,15.61083000635578,-2.9215907271968335
99,1,22.985591824718714,38.982380148525415,-2.872610749050521
100,1,-15.311211336222142,-25.171880103624545,1.8790870866262848
1,2,47.18064964379897,11.86939930954472,-1.4535723079271516
2,2,49.1498067268652,-17.257669244938157,1.811773080128531
3,2,18.37797976634694,44.76750034901385,-0.2913644309806212
4,2,9.413809715470693,-15.370395564866415,-2.4119994291008857
5,2,-7.737944741183399,8.893966796006962,0.3482206525480228
6,2,5.957124781030701,1.4156016483379616,-0.4656410926227745
7,2,13.31675947409091,-48.79877042113718,-1.1355027964502835
8,2,22.084824992199124,11.795960074973141,-2.1442310884478846
9,2,12.181655873209937,-14.20148629235607,2.6650909987623517
10,2,-5.938908927044528,4.770730816135764,-0.5782759104959883
11,2,20.23739698784813,40.15216992350193,-0.1188792707105927
12,2,19.427608816042326,1.410067226077647,-2.465181180918725
13,2,-18.59704999682629,34.32558879700598,-1.9665921543553968
14,2,-40.74206891785445,25.247886951267304,1.170538330248033
15,2,-47.96746441731993,-5.4223010452046845,-1.2538866560044795
16,2,-30.499251193458544,3.702340870731191,-0.7316345558780115
17,2,45.778491929197614,43.16625158012664,0.1865648453679025
18,2,29.146623622305913,-45.08823781229782,1.4671587662291652
19,2,-10.225248215797393,-24.679267420739222,-2.879310243293265
20,2,23.08409253317164,24.461767944008592,1.2869159268584947
21,2,33.83108586224321,-17.139529617393155,0.7407857458503176
22,2,-13.885051553231198,10.200586805763672,-1.9707381376524242
23,2,41.67787405905206,24.575885732977582,2.7576238741258488
24,2,-30.536825192244944,-11.460580381930379,-2.9334231044395245
25,2,8.827047458336864,-21.627172661935287,-0.17335418853916065
26,2,-45.7834045380294,-26.862252259221428,-1.9593242652093081
27,2,2.016509881926372,-27.195559018754185,0.916392936059627
28,2,44.11470794657787,-38.761523397154335,1.513076429338672
29,2,18.300014171011718,20.131028061396655,-1.7790780961829602
30,2,-33.500935317340506,3.6134509363445217,1.1281744558048863
31,2,-4.53241599061954,-37.01678565172396,-1.1835646300007245
32,2,-43.78432119493361,-6.611730965323219,-2.5697868908435493
33,2,5.015092514091359,9.213398537793756,-0.8073552873123069
34,2,35.41928158235811,37.36916152652772,1.72001173132846
35,2,-24.609402367857047,-27.778755891167272,0.5835566878957772
36,2,-8.82492806078293,-6.060870561618717,1.2797503979753824
37,2,-36.02445697354549,-43.265534495730684,-2.4815308100383056
38,2,23.749940044552975,32.938995080744796,2.826963469959965
39,2,-22.287883464440515,-17.961546187822822,-1.2327975948486825
40,2,-4.491492513023775,47.140942005300296,-0.07619672183998039
41,2,27.81642926249601,-23.96462522493445,-2.205942890549261
42,2,37.01847859594424,45.49599580528983,-1.4568040640939748
43,2,26.34811762821038,6.128081452142513,-0.892750804450225
44,2,-46.31879540374406,-33.16509649232661,0.3583167939863114
45,2,-9.73689619591896,-36.21910628351576,-0.296166045555926
46,2,-45.72704751382652,-48.18828757722364,-0.9459557706999865
47,2,16.846425963396992,-6.133439288878876,-2.362592070887783
48,2,-39.37883029925233,-39.805772629667004,1.277234336669452
49,2,21.227906156494956,-34.74013030653816,-0.9138433021539832
50,2,1.1309142631684599,41.490140162279225,0.07185743708717841
51,2,14.873735949130268,-16.29555069168579,-0.5904709326777274
52,2,5.917600867407666,-11.358241357233945,-0.46280778233212755
53,2,-3.6837679654233826,28.843875174625275,-1.6801798011706945
54,2,-33.36509924248476,-12.469973712966464,-0.72942771861801
55,2,2.0623955583843143,-31.484508947162475,-2.991729091533518
